id,name,sport,category,type,status,image_url,description,created_at,user_id,is_test
1,"Горный велосипед Giant Talon 5 27.5",Велоспорт,Инвентарь,Велосипед,free,uploads/item_698866caa4e9e.jpg,"Talon 5 27.5 (2022) отличный компаньон от компании Giant для тренировок, городских поездок и катанию по пересеченной местности. Рама выполнена из авиационного алюминиевого сплава 6061 и имеет оптимальную геометрию для смешанного катания. На раме так же имеются две закладные для флягодержателей, велонасоса и аксессуаров. Вилка с амортизацией от компании Suntour имеет регулировку жесткости для более точной индивидуальной настройки. Трансмиссия от Shimano на 14 скоростей обеспечит широкий диапазон передач для разных типов рельефа на вашем пути, а накатистые колеса с втулками на насыпных подшипниках поспособствуют более комфортному педалированию и потерям наката. Прочные покрышки 27.5 от Kenda шириной 2.2 и имеют широкое пятно контакта для повышенного зацепа. Механические тормоза от производителя Tektro без труда остановят велосипед при любых обстоятельствах.

Значимые особенности данной модели:
Алюминиевая рама 6061 с двумя креплениями под аксессуары и скрытой прокладкой тросов
Пружинно-эластомерная амортизируемая вилка Suntour с регулировкой жесткости
Быстрая трансмиссия на 14 скоростей от Shimano
Фирменные компоненты Giant, руль, вынос, седло, втулки
Зацепистые покрышки 27.5 диаметра с универсальным протектором
Дисковые механические тормоза от компании Tektro с роторами на 160 мм.
Высококачественная сборка велосипеда с использованием исключительно проверенных компонентов
Данный велосипед прекрасно подходит для ежедневной эксплуатации по городу, бездорожью и тренировкам и для эффективной езды необходимо обеспечивать себя своевременным пополнением жидкости, в этом отлично поможет велофляга BBB BWB-15 и для удобного доступа флягодержатель BBB BBC-36.","2026-02-08 17:34:50",1,0
2,"Гравийный велосипед Atom Tundra LTD 2",Велоспорт,Инвентарь,Велосипед,free,uploads/item_6988c28a40cac.jpg,"Atom Tundra LTD 2 (2025) - это сбалансированный, управляемый и удобный байк для катания по гравийным трассам, который отлично подойдет для тех, кто стремится проводить свое время в длительных велопоездках. Рама велосипеда выполнена из алюминия и благодаря технологии ""тройного баттинга"" обладает низким весом а также отличным запасом прочности. Ключевой особенностью байка является вилка, выполненная из карбона, благодаря чему велосипед имеет более низкий вес и повышенную управляемость на скорости.

Производитель также позаботился и об удобстве райдера во время длительных велопоходов, ведь фреймсет байка оборудован 5-ю комплектами закладных под установку сумок и аксессуаров. Это является приятным дополнением к комплектации и станет одним из важнейших критериев при выборе велосипеда для туризма. С трансмиссией шоссейного типа Shimano Sora сложные маршруты станут легче. Передний переключатель на 2 скорости и задний на 9 скоростей помогут уверенно покорять затяжные подъёмы а также поддерживать комфортную скорость на ровных участках дорог. Шоссейный руль-баран обеспечит легкость в управлении велосипедом, а шифтеры с встроенными тормозными ручками позволят безопасно и уверенно ускоряться и тормозить.

Особенности велосипеда:
Алюминиевая рама имеет переменную толщину стенок труб, оборудована коническим рулевым стаканом, внутренней проводкой тросов, кареточный стакан выполнен под стандарт BSA, дропауты рассчитаны под установку задней втулки стандарта 12 x 142 мм, имеет 3 комплекта закладных для крепления аксессуаров
Карбоновая вилка под дисковый тормоз со стандартом крепления калипера Flat Mount, рассчитана под установку передней втулки размером 12 x 100 мм и имеет 2 комплекта закладных под установку аксессуаров
Шоссейная трансмиссия Shimano Sora с диапазоном скоростей 2 x 9 управляется манетками-дуалами, совмещенными с тормозной ручкой
Дисковые механические тормоза Promax с роторами на 160 мм на обеих колесах
Колеса диаметром 28""( 700C) собраны на двойных алюминиевых ободах Atom X25, поддерживающих бескамерную установку покрышки, втулках Formula на промышленных подшипниках и облегченной резине Obor Saturn Ring с кевларовым кордом
Алюминиевый руль-баран Atom Icon GR и кованный вынос Atom Icon обеспечивают правильную посадку
Велосипед не комплектуется педалями
Бренд Atom стал популярным в начале 2000-х годов благодаря росту популярности экстремальных дисциплин MTB. Сегодня Atom Bikes предлагает обширный ассортимент велосипедов, включая специализированные модели для катания в грэвел-дисциплине. Каждый велосипед предоставляет владельцу широкие возможности для кастомизации. Рекомендуем начать апгрейд гравийного байка с установки контактных педалей. Модель Leatt 8.0 Endurance CeraMag Clip-In станет отличным выбором для знакомства с этим типом педалей.","2026-02-09 00:06:18",1,0
4,"Самокат Globber Flow Element Junior Lights",Самокаты,Инвентарь,Самокат,free,uploads/item_698a14b9e9679.jpg,"Самокат Globber Flow Element Junior Lights — идеальное решение для юных любителей активного отдыха! Flow Element Junior Lights — это современный самокат, разработанный специально для детей возрастом от 6 до 12 лет. Эта модель сочетает в себе стильный дизайн, надежность и функциональность, делая прогулки на свежем воздухе еще более увлекательными и безопасными. Регулируемая высота руля: Руль самоката регулируется по высоте, что позволяет адаптировать его под рост ребенка. Это обеспечивает комфортную езду и снижает риск усталости. Широкая платформа и качественные тормоза обеспечивают устойчивость и безопасность при катании. Одним из главных преимуществ этой модели являются светящиеся полиуретановые колеса диаметром 125 мм спереди и 100 мм сзади. Они не только делают поездки яркими и эффектными, но также повышают видимость ребенка на дороге в темное время суток.","2026-02-10 00:09:13",1,0
5,"Ботинки горнолыжные HEAD Raptor 40","Горные лыжи",Экипировка,"Ботинки горнолыжные",free,uploads/item_698a158c25052.jpg,"Ботинки горнолыжные HEAD Raptor 40 (605515) - идеальный выбор для начинающих лыжников, стремящихся к комфорту и уверенности на склоне. Эти ботинки предлагают максимально удобную колодку, что обеспечивает отличную посадку и поддержку ноги во время катания.

Ботинки разработаны с учетом анатомии ноги, что позволяет избежать дискомфорта даже при длительном использовании. Мягкая внутренняя отделка обеспечивает тепло и уют, а также способствует лучшему удержанию тепла.
Ботинки оснащены надежными и простыми в использовании клипсами, которые обеспечивают отличную фиксацию и возможность быстрой регулировки. Это позволяет легко адаптировать ботинки под индивидуальные предпочтения и уровень затяжки, что особенно важно для начинающих лыжников.

Подошва ботинок совместима с большинством креплений, что делает их универсальным выбором для различных типов лыжного снаряжения. Это позволяет легко интегрировать ботинки в уже имеющуюся экипировку, не беспокоясь о совместимости.

Ботинки горнолыжные HEAD Raptor 40 (605515) - это сочетание комфорта, надежности и простоты использования, что делает их отличным выбором для новичков, стремящихся к уверенным шагам на склонах, а также начинающим спортшкольникам.","2026-02-10 00:12:44",1,0
6,"Палки горнолыжные HEAD Multi Black","Горные лыжи",Экипировка,"Палки горнолыжные",free,uploads/item_698a15f2c0dc0.jpg,"Удобные горнолыжные палки с новой прозрачной рукояткой Race и кольцами Race Basket, как на спортивных моделях. Бестселлер!

ОСОБЕННОСТИ
Материал 5086 Aluminum;
ручка Race Transparent;
темляк Automatic;
кольца Race basket 50 мм;
наконечник Star Steel Tip;
Ø 18 мм","2026-02-10 00:14:26",1,0
7,"Крепления для сноуборда Bataleon DONNA",Сноубординг,Экипировка,"Крепления для сноуборда",free,uploads/item_698a1676087e0.jpg,"Сноубордические крепления Donna – это женская модель креплений для олмаунтин и фристайла. В основе креплений жесткая алюминиевая конструкция пяточной дуги Fullwrap, обеспечивающая максимальную точность передачи усилия на доску. Уменьшенный хайбэк “Quarterback"" имеет идеальную совместимость с ботинками женских размеров, а полностью настраиваемые стрэпы WrapStraps помогают делать прессы легко и непринужденно и наслаждаться комфортом без болезненных передавливаний. У креплений полностью настраиваемая конструкция. Быстрый механизм баклей FastEntry ™ гарантируют, что вы будете готовы за секунды к новой линии. Так что с креплениями Donna Вы можете сделать больше попыток и быстрее прогрессировать.","2026-02-10 00:16:38",1,0
8,"Сноуборд Bataleon BLOW WIDE",Сноубординг,Инвентарь,Сноуборд,free,uploads/item_698a16a91f83a.jpg,"Модель Blow - это универсальный сноуборд , ориентированный на парковое катание. Легкая и прочная симметричная конструкция Twin с фирменной 3D платформой Triple Base Tech, позволяет минимизировать поимку канта, обеспечивает улучшенную ""плавучесть"" в глубоком снегу и обладает целым рядом других преимуществ по сравнению с традиционной плоской платформой. Сноуборд имеет прогиб Low Camber. Такой прогиб в сочетании с платформой 3BT обеспечивает более свободное чувство управления доской и прощает многие ошибки при перекантовках и недокрутах. У доски cердечник Core Core из тополя со вставками бука для большей жесткости и отдачи, необходимой при заходе на всевозможные кикеры и фигуры. Скользящая поверхность HyperGlide Sintered быстрая и прочная, и ещё быстрее когда запарафинена. Боковые стенки Flex Walls из полиуретана обеспечивают дополнительное виброгашение и эффективную защиту от ударов.","2026-02-10 00:17:29",1,0
9,"Велозащита Globber Protective Teens & Adult",Велоспорт,Экипировка,Велозащита,free,uploads/item_698a16ecf00c2.jpg,"Комплект защиты, произведенный тандемом французского бренда Globber и корейской компании Fila Skates. Модель Protective Teens & Adult универсальна и рассчитана для активного и экстремального катания на самокатах, роликах, скейтбордах и велосипедах. Главной отличительной особенностью комплекта является технология скольжения щитков, позволяющая уменьшить вероятность травмирования при падении. Комплект состоит из защитных элементов на колени, на локти и запястья, выполненных из ударопрочного пластика и текстильных вставок. Фиксация элементов осуществляется ремешками на липучках, позволяющих удобно отрегулировать посадку, чтобы не сковывать движения. Внутри, элементы защиты имеют мягкие пенные вставки, для комфортного движения и амортизации при падении. Модель унисекс, изготавливается в сдержанном черном цвете и подростковых, взрослых размерах M, L, XL, с допуском от 7 лет. Эффективная защита рассчитана на диапазон от 50 до 100 кг. Для безопасного катания рекомендуем комбинировать комплект защиты со шлемом, например Globber Helmet Junior или Helmet Evo Lights.","2026-02-10 00:18:36",1,0
10,"Горный велосипед Aspect Cobalt Pro 29",Велоспорт,Инвентарь,Велосипед,free,uploads/item_698a1777b3696.jpg,"Велосипед Cobalt Pro станет отличным компаньоном для начинающих велосипедистов и просто для неспешного передвижения на свежем воздухе. Линейка Cobalt имеет геометрию ориентированную на расслабленную и комфортную посадку, за счет чего управление стало более стабильным и не провоцирующим. Благодаря современным технологиям и грамотному инженерному подходу, велосипед получился стильным и сбалансированным решением для поддержания себя в спортивной форме. Благодаря качественным компонентам и точной сборке, велосипед Aspect Cobalt Pro порадует Вас как при первых выездах, так и спустя продолжительное время.

Ключевые особенности:
Рама с Trekking геометрией из алюминиевого сплава 6061, гидроформованные трубы с двойным баттингом, скрытая прокладка тросов, крепление калипера PM, невидимые сварные швы, возможность установки интегрированной подножки
Пружинно-эластомерная вилка GTMRK 362 ход 100 мм с блокировкой и хромированными ногами 32 мм
Алюминиевые, двойные обода готовы к бескамерному использованию
Легкие втулки Code H1 на алюминиевых корпусах и промышленных подшипниках
Фирменные покрышки Kenda Booster с цепким протектором и оптимальной шириной
Эффективная трансмиссия Shimano Cues на 9 скоростей, кассета с оптимальным диапазоном передаточных чисел
Надежная система Prowheel со звездой 34Т, имеющей переменную толщину зубьев
Гидравлические тормоза Shimano MT200 с комбинацией роторов 180 и 160 мм
Четкость контроля: грипсы на алюминиевых хомутах с цепким рисунком, полуспортивное седло с влагоустойчивым нескользящим покрытием","2026-02-10 00:20:55",1,0
11,"Самокат Globber NL 230-205 Duo",Самокаты,Инвентарь,Самокат,free,uploads/item_698a1867bf114.jpg,"Скоростная и легкая модель для городского катания от компании Globber, модель NL 230-205 Duo. Модель оптимально подойдет для подростков и детей, располагает к динамичному катанию по городским улицам и паркам. Простота и надежность конструкции позволит иметь хорошую маневренность и высокую плавность хода. К тому же складная конструкция рулевой стойки закроет вопрос о его перевозке и хранении.

Значимые особенности данной модели:
Легкая и жесткая рама из алюминиевого сплава с нескользящим покрытием Пружинная передняя вилка Фирменная, быстрая система складывания рулевой колонки, складной руль Пластиковые колеса с упругой покрышкой из полиуретана и на подшипниках ABEC 7 Алюминиевый руль с регулировкой высоты в 3-х положениях - от 102 до 112 сантиметров от земли Заднее тормозное крыло с оптимальной длиной для защиты от брызг Для комфорта использования оборудован подножкой Мягкая резина ручек с эргономичной формой Высокий запас прочности - допускает нагрузку до 100 килограмм
Самокат полностью готов для активного городского использования. Стоит сказать, что его использование стоит вести без пренебрежения ПДД. Нельзя не сказать и том, что фирменная экипировка Globber крайне хорошо сочетается с цветовой палитрой самоката, рекомендуем позаботиться о безопасности ребенка и кататься в шлеме! Хорошим сочетанием будут фирменный шлем Globber Helmet Elite Lights и звонок Globber Mini Buzzer.","2026-02-10 00:24:55",1,0
